MAG_status	sequencing	file
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.47
MQ	Short-read	LIB-MJ191-C4_04.9
MQ	Short-read	LIB-MJ105-E3_01.8
MQ	Short-read	LIB-MJ279-D4_02.5
MQ	Short-read	LIB-MJ250-H7_04.2
MQ	Short-read	LIB-MJ256-H7_03.25
MQ	Short-read	LIB-MJ251-G7_04.9
MQ	Short-read	LIB-MJ256-H7_03.9
MQ	Short-read	LIB-MJ194-E3_04.2
MQ	Short-read	LIB-MJ105-H8_01.46
MQ	Short-read	LIB-MJ256-H7_03.36
MQ	Short-read	LIB-MJ194-C12_04.17
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.16
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.34
MQ	Short-read	LIB-MJ193-H10_01_v_LIB-MJ402-F8_04.20
MQ	Short-read	LIB-MJ190-H7_02.24
MQ	Short-read	LIB-MJ279-D4_02.18
MQ	Short-read	LIB-MJ190-H7_02.20
MQ	Short-read	LIB-MJ196-F6_02.31
MQ	Short-read	LIB-MJ230-E3_03.8
MQ	Short-read	LIB-MJ352-B11_03.10
MQ	Short-read	LIB-MJ106-H9_01.8
MQ	Short-read	LIB-MJ106-H9_01.8
MQ	Short-read	LIB-MJ048-C2_04.17
MQ	Short-read	LIB-MJ177-H2_03_v_LIB-MJ408-E11_04.14
MQ	Short-read	LIB-MJ148-B7_02.3
MQ	Short-read	LIB-MJ146-C6_01.26
MQ	Short-read	LIB-MJ256-H7_03.31
MQ	Short-read	LIB-MJ228-D9_01.10
MQ	Short-read	LIB-MJ256-H7_03.51
MQ	Short-read	LIB-MJ198-E1_03.56
MQ	Short-read	LIB-MJ148-G5_02.7
MQ	Short-read	LIB-MJ230-E3_03.32
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.12
MQ	Short-read	LIB-MJ130-B10_01.11
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.26
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.12
MQ	Short-read	LIB-MJ256-H7_03.40
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.30
MQ	Short-read	LIB-MJ256-H7_03.13
MQ	Short-read	LIB-MJ176-C4_03.11
MQ	Short-read	LIB-MJ352-B11_03.13
MQ	Short-read	LIB-MJ259-G6_04.56
MQ	Short-read	LIB-MJ106-H9_01.30
MQ	Short-read	LIB-MJ256-H7_03.30
MQ	Short-read	LIB-MJ048-C9_04.18
