bin	tax_gtdb.r220
001-SG-02.bin.2.203	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JADJRH01;s__
001-SG-02.bin.2.204	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ga0077548;s__Ga0077548 sp019454205
001-SG-02.bin.2.205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__SR-FBR-E99;s__SR-FBR-E99 sp018262715
001-SG-02.bin.2.206	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__;g__;s__
001-SG-02.bin.2.207	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__;s__
001-SG-02.bin.2.208	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA6899;g__;s__
001-SG-02.bin.2.209	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Vicinibacter;s__Vicinibacter sp016710235
001-SG-02.bin.2.210	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__
001-SG-02.bin.2.211	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__
001-SG-02.bin.2.212	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__JAMOAD01;f__JAMOAD01;g__JAMOAD01;s__JAMOAD01 sp023621955
001-SG-02.bin.2.214	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__JAPLGZ01;s__
001-SG-02.bin.2.216	d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__SZUA-149;f__;g__;s__
001-SG-02.bin.2.217	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Fredericiella;s__
001-SG-02.bin.2.218	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__;g__;s__
001-SG-02.bin.2.219	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__F11;g__;s__
001-SG-02.bin.2.220	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JAHBXE01;s__
