Tree node ID	Genus	Uncharacterised	MiDAS_GCF_1	MiDAS_GCF_2	MiDAS_GCF_3	MiDAS_GCF_4	MiDAS_GCF_5	MiDAS_GCF_6	MiDAS_GCF_7	MiDAS_GCF_8	MiDAS_GCF_9	MiDAS_GCF_10	MiDAS_GCF_11	MiDAS_GCF_12	MiDAS_GCF_13	MiDAS_GCF_14	MiDAS_GCF_15
045-US1-87.bin.1.495'	JACKQF01	89.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
033-IN-11.bin.1.442'	JACTMI01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
006-MY-06.bin.c.45'	JADIYM01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
065-CA-03.bin.1.69'	JADIYW01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
035-MX-06.bin.1.32'	JADJBW01	100	0	0	0	0	0	0	0	96.3	0	0	0	0	0	0	0
062-AU-26.bin.1.204'	JADJEF01	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
063-AU-32.bin.1.230'	JADJGJ01	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0
010-BE-17.bin.1.109'	JADJJE01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
093-US1-47.bin.1.205'	JADJJR01	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062-AU-26.bin.1.211'	JADJLQ01	39.29	0	0	0	3.57	0	0	0	0	0	0	0	0	0	0	0
023-IN-14.bin.1.444'	JADJPL01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
094-US2-01.bin.1.789'	JADJRG01	87.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
059-AT-02.bin.1.55'	JADJSS01	27.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
066-CH-22.bin.1.152'	JADJVJ01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
027-AU-18.bin.1.120'	JADJVK01	78.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
065-CA-03.bin.1.267'	JADJXV01	93.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
078-MX-10.bin.1.612'	JADKAV01	38.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
048-UY-15.bin.1.210'	JADKBO01	15.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
039-SE-29.bin.1.95'	JADKCL01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
072-HK-05.bin.1.212'	JADKHE01	66.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
009-AU-01.bin.1.75'	JADKHK01	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
040-UK-14.bin.1.269'	JADKHR01	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
064-CA-01.bin.1.149'	JADKIH01	100	0	0	0	88.57	0	0	0	0	0	0	0	0	0	0	0
002-MX-07.bin.1.119'	JADKIY01	92.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
060-AU-05.bin.1.354'	JADKJB01	97.44	0	0	0	97.44	0	0	0	0	0	0	0	0	0	0	0
004-NL-18.bin.1.466'	JADKJP01	100	0	0	0	92.31	0	0	0	0	0	0	0	0	0	0	0
008-AR-23.bin.1.381'	JADLDI01	100	0	0	0	0	0	0	0	0	0	0	0	0	86.67	0	0
034-IT-09.bin.c.15'	JADLGJ01	91.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
052-CH-10.bin.1.189'	JADLHS01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
006-MY-06.bin.1.149'	JADZAI01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
065-CA-03.bin.1.625'	JADZDL01	100	0	0	0	0	0	0	0	0	83.33	0	0	0	0	83.33	0
067-CH-23.bin.1.124'	JAEUIE01	84.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
018-CH-08.bin.2.227'	JAEUJQ01	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
008-AR-23.bin.1.619'	JAEUJT01	23.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
042-US1-105.bin.1.259'	JAEUKA01	7.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
093-US1-47.bin.1.164'	JAEUKQ01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
073-IL-01.bin.1.133'	JAEUMD01	97.96	0	0	0	0	61.22	87.76	0	0	0	0	0	0	0	0	0
020-NO1-03.bin.1.99'	JAEUNB01	46.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
004-NL-18.bin.1.6'	JAEUQQ01	84.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
018-CH-08.bin.1.272'	JAEUUX01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
025-FI-01.bin.1.273'	JAEUUZ01	94.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
043-US1-27.bin.2.125'	JAEUWI01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090-US1-124.bin.1.484'	JAFLCP01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
036-NL-06.bin.1.495'	JAGNNV01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
063-AU-32.bin.c.25'	JAGNTT01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
041-UK2-07.bin.1.139'	JAGOYM01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
040-UK-14.bin.1.460'	JAGPCH01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
021-CZ-11.bin.1.691'	JAGPDF01	72.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
017-IL-02.bin.1.118'	JAGQHB01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
013-IT-11.bin.1.129'	JAGQSI01	73.13	0	0	0	0	0	0	0	95.52	0	0	0	0	0	0	0
095-US2-13.bin.1.640'	JAGQSN01	100	0	0	0	0	0	0	0	88.24	0	0	0	0	0	0	0
073-IL-01.bin.1.849'	JAGQSZ01	93.75	0	0	0	0	0	0	0	93.75	0	0	0	0	0	0	0
042-US1-105.bin.c.24'	JAGXIT01	15.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001-SG-02.bin.1.95'	JAIBCL01	77.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
027-AU-18.bin.c.8'	JAIXLE01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
025-FI-01.bin.1.274'	JAJXWB01	100	0	0	0	0	0	87.5	0	0	0	0	0	0	0	0	0
089-SG-01.bin.1.327'	JAKOUY01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
018-CH-08.bin.c.9'	JALHOQ01	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032-ES-07.bin.1.17'	JALNZU01	100	0	54.55	0	0	0	0	0	0	0	0	0	0	0	0	0
040-UK-14.bin.1.135'	JAMIFN01	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
038-SE-10.bin.1.73'	JANMEX01	100	0	0	0	0	0	90.91	0	0	0	0	0	0	0	0	0
017-IL-02.bin.1.255'	JARSSO01	81.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
076-IN-18.bin.1.537'	JAWKJK01	27.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
