Tree node ID	Genus	Alginate	Cellulose	Curdlan	Pel	PNAG (pga)
021-CZ-11.bin.1.6'	SSSZ01	0	0	0	0	0
098-UY-13.bin.1.121'	SXSK01	0	0	0	0	0
058-AR-20.bin.1.199'	SXXK01	0	0	0	0	0
090-US1-124.bin.1.30'	SZUA-430	0	8.33	0	66.67	0
066-CH-22.bin.1.569'	Sediminibacterium	0	0	0	0	0
062-AU-26.bin.1.98'	Simplicispira	0	50	0	18.75	0
014-ES-23.bin.1.210'	Sphaerotilus	0	19.57	0	10.87	0
067-CH-23.bin.1.322'	Sphingobium	0	0	9.09	0	0
058-AR-20.bin.1.120'	Sphingorhabdus_B	0	0	0	0	0
071-HK-01.bin.1.137'	Streptococcus	0	0	0	0	0
046-US2-03.bin.1.425'	Sulfuritalea	0	0	0	0	6.45
013-IT-11.bin.2.346'	TH-plancto1	0	0	0	0	0
090-US1-124.bin.1.571'	TMP-24	0	0	0	0	0
052-CH-10.bin.1.119'	Tabrizicola	3.76	0	0	0	0
061-AU-11.bin.1.630'	Tepidiforma	0	0	0	0	0
035-MX-06.bin.1.451'	Thauera	0	2.86	0	0	0
023-IN-14.bin.1.553'	Thermomonas	0	0	0	0	0
076-IN-18.bin.1.728'	Thiothrix	0	0	0	30	0
098-UY-13.bin.1.516'	Trichococcus	0	0	0	8.7	0
043-US1-27.bin.1.157'	Turneriella	0	0	0	0	0
034-IT-09.bin.1.12'	UBA10649	0	0	0	0	0
083-NL-13.bin.1.381'	UBA10799	0	1.49	0	0	0
016-PL-06.bin.1.333'	UBA11034	0	0	0	0	0
065-CA-03.bin.1.251'	UBA2031	0	0	0	90	0
001-SG-02.bin.1.135'	UBA2033	0	0	0	0	0
091-US1-126.bin.c.23'	UBA2329	0	0	0	0	0
073-IL-01.bin.1.239'	UBA2353	0	0	0	0	0
017-IL-02.bin.1.19'	UBA2376	0	0	0	10.91	0
035-MX-06.bin.2.3'	UBA2386	0	0	0	60	0
036-NL-06.bin.1.265'	UBA4408	0	0	0	0	0
008-AR-23.bin.1.434'	UBA4416	0	0	0	0	0
036-NL-06.bin.1.760'	UBA4417	0	0	0	0	0
008-AR-23.bin.2.57'	UBA5069	0	0	0	0	0
035-MX-06.bin.1.6'	UBA5518	0	0	0	0	0
017-IL-02.bin.1.274'	UBA6669	0	0	0	0	0
052-CH-10.bin.1.502'	UBA668	0	0	0	0	0
014-ES-23.bin.1.136'	UBA7236	0	0	0	0	0
058-AR-20.bin.1.176'	UBA7239	0	0	0	0	59.09
014-ES-23.bin.1.416'	UBA7672	0	21.43	0	0	2.38
013-IT-11.bin.2.487'	UBA9464	0	0	0	0	6.25
071-HK-01.bin.1.58'	UBA964	0	0	0	0	0
053-PL-24.bin.2.317'	V1-33	0	0	0	0	0
061-AU-11.bin.1.112'	VBCG01	0	0	0	0	0
043-US1-27.bin.1.122'	VFMC01	0	0	0	0	0
040-UK-14.bin.1.61'	Vicinibacter	0	0	0	0	0
018-CH-08.bin.1.561'	Villigracilis	0	0	0	7.46	0
043-US1-27.bin.1.163'	Vitreimonas	0	3.12	0	0	0
066-CH-22.bin.1.32'	WHSN01	0	0	0	11.59	0
008-AR-23.bin.1.344'	WYBB01	0	96.3	0	0	0
053-PL-24.bin.1.591'	ZC4RG30	0	0	0	0	41.82
098-UY-13.bin.1.166'	Zoogloea	0	0	0	4.26	0
