Tree node ID	Genus	Genus_new
025-FI-01.bin.1.273'	JAEUUZ01	Karnatakaula
014-ES-23.bin.1.136'	UBA7236	Potosiana
003-CA-05.bin.1.10'	JABFXX01	Olathecella
065-CA-03.bin.1.625'	JADZDL01	Potosiella
002-MX-07.bin.1.328'	CAJCBL01	Morpethicella
003-CA-05.bin.1.72'	Leadbetterella	Leadbetterella
002-MX-07.bin.1.716'	CALMFQ01	CALMFQ01
040-UK-14.bin.1.135'	JAMIFN01	Bentosiula
062-AU-26.bin.1.204'	JADJEF01	Zurichibacter
020-NO1-03.bin.1.99'	JAEUNB01	Oslousia
065-CA-03.bin.1.148'	Draconibacterium	Draconibacterium
023-IN-14.bin.1.553'	Thermomonas	Thermomonas
064-CA-01.bin.1.149'	JADKIH01	Espoococcus
061-AU-11.bin.1.332'	Lutibacillus	Lutibacillus
048-UY-15.bin.2.114'	Romboutsia	Romboutsia
078-MX-10.bin.1.612'	JADKAV01	JADKAV01
023-IN-14.bin.2.241'	Fluviicoccus	Fluviicoccus
043-US1-27.bin.c.15'	M0108	Berazateguius
048-UY-15.bin.1.210'	JADKBO01	Chicopeeus
029-CA-06.bin.1.84'	Propioniciclava	Propioniciclava
042-US1-105.bin.c.20'	Competibacter	Competibacter
011-CY-01.bin.2.80'	JAAEKA01	Woodfordium
042-US1-105.bin.2.126'	Aliarcobacter	Aliarcobacter
017-IL-02.bin.1.135'	Denitratimonas	Denitratimonas
040-UK-14.bin.1.269'	JADKHR01	Nestemicevita
076-IN-18.bin.1.728'	Thiothrix	Thiothrix
042-US1-105.bin.c.24'	JAGXIT01	Telaviviula
046-US2-03.bin.1.433'	Lacipirellula	Lacipirellula
072-HK-05.bin.1.212'	JADKHE01	Hongkongiana
042-US1-105.bin.1.259'	JAEUKA01	JAEUKA01
014-ES-23.bin.1.375'	Bog-950	Josearia
034-IT-09.bin.1.358'	Opimibacter	Opimibacter
036-NL-06.bin.1.318'	CAIWHR01	Singaporiana
012-PT-06.bin.1.383'	Desulfobacillus	Desulfobacillus
013-IT-11.bin.1.108'	OLB5	Kalispellisoma
020-NO1-03.bin.2.161'	JBBQCW01	Osloplasma
034-IT-09.bin.c.15'	JADLGJ01	Emiliana
018-CH-08.bin.2.227'	JAEUJQ01	Sydneyvivens
076-IN-18.bin.1.537'	JAWKJK01	Dahejibacter
090-US1-124.bin.1.337'	Casimicrobium	Casimicrobium
014-ES-23.bin.1.435'	Prosthecobacter	Prosthecobacter
062-AU-26.bin.1.98'	Simplicispira	Simplicispira
004-NL-18.bin.1.466'	JADKJP01	Oslocella
027-AU-18.bin.c.8'	JAIXLE01	Sydneyplasma
008-AR-23.bin.1.298'	CAIKXD01	Dubendorfium
017-IL-02.bin.1.118'	JAGQHB01	Deurnevita
035-MX-06.bin.1.258'	FEB-7	FEB-7
099-UY-16.bin.1.290'	Pseudomonas_E	Pseudomonas_E
018-CH-08.bin.c.9'	JALHOQ01	Zurichisoma
090-US1-124.bin.1.484'	JAFLCP01	JAFLCP01
002-MX-07.bin.2.25'	Nitrospira_D	Nitrospira_D
016-PL-06.bin.1.333'	UBA11034	Warsawiplasma
098-UY-13.bin.1.516'	Trichococcus	Trichococcus
011-CY-01.bin.1.245'	Ga0077555	Nestemiceum
018-CH-08.bin.1.423'	Ideonella	Ideonella
041-UK2-07.bin.1.163'	JBEIFN01	Bonziula
012-PT-06.bin.2.575'	Brachythrix	Brachythrix
018-CH-08.bin.2.379'	Acinetobacter	Acinetobacter
018-CH-08.bin.1.272'	JAEUUX01	JAEUUX01
064-CA-01.bin.1.64'	JACJWR01	Saskatonicella
061-AU-11.bin.2.99'	Nannocystis	Nannocystis
008-AR-23.bin.2.319'	CFX2	Rotterdamiaria
095-US2-13.bin.1.487'	Ga0074137	Dubendorfiula
035-MX-06.bin.1.119'	Lentimicrobium	Lentimicrobium
035-MX-06.bin.1.145'	Geothrix	Geothrix
008-AR-23.bin.1.619'	JAEUJT01	Montevideous
066-CH-22.bin.2.119'	Ga0077546	Dubendorfiaria
019-HK-04.bin.1.611'	DUSC01	Nestemicemonas
016-PL-06.bin.1.797'	JBBSAT01	Nestemicesoma
017-IL-02.bin.1.567'	Fodinibacter	Fodinibacter
058-AR-20.bin.c.12'	Haliscomenobacter	Haliscomenobacter
035-MX-06.bin.2.3'	UBA2386	Zillertalousia
071-HK-01.bin.1.137'	Streptococcus	Streptococcus
098-UY-13.bin.c.25'	DAISWL01	Punemicrobium
041-UK2-07.bin.1.139'	JAGOYM01	Newcastlevita
043-US1-27.bin.1.157'	Turneriella	Turneriella
039-SE-29.bin.1.95'	JADKCL01	JADKCL01
065-CA-03.bin.1.69'	JADIYW01	Melbournisoma
094-US2-01.bin.1.160'	Ga0077550	Chicopeearia
093-US1-47.bin.1.164'	JAEUKQ01	Montevideosoma
037-NO2-03.bin.1.485'	JAAFJR01	Melbournicella
