genome_id,gtdb_classification,Database
001-SG-02.bin.1.62,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__,MiDAS Global
001-SG-02.bin.1.621,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__CAIYMF01;g__WLRQ01;s__,MiDAS Global
001-SG-02.bin.1.623,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADJSS01;s__,MiDAS Global
001-SG-02.bin.1.63,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__CAILAD01;f__JADZBC01;g__;s__,MiDAS Global
001-SG-02.bin.1.64,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylosarcina;s__Methylosarcina fibrata,MiDAS Global
001-SG-02.bin.1.66,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__,MiDAS Global
001-SG-02.bin.1.68,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Pseudolysobacter;s__,MiDAS Global
001-SG-02.bin.1.70,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__;s__,MiDAS Global
001-SG-02.bin.1.75,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Phosphoribacter;s__,MiDAS Global
001-SG-02.bin.1.80,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__,MiDAS Global
001-SG-02.bin.1.81,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__QUBU01;s__QUBU01 sp020853135,MiDAS Global
001-SG-02.bin.1.85,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__JADJNY01;s__,MiDAS Global
001-SG-02.bin.1.86,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__JACQNP01;g__JAGQNP01;s__,MiDAS Global
001-SG-02.bin.1.91,d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__Absconditicoccaceae;g__Aalborg-AAW-1;s__,MiDAS Global
001-SG-02.bin.1.93,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__SICU01;s__,MiDAS Global
001-SG-02.bin.1.95,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__JAIBCL01;s__JAIBCL01 sp019694165,MiDAS Global
001-SG-02.bin.1.96,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__JADJNY01;s__,MiDAS Global
001-SG-02.bin.2.103,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__JAEUHS01;s__,MiDAS Global
001-SG-02.bin.2.148,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__,MiDAS Global
001-SG-02.bin.2.149,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter cognatus,MiDAS Global
